,0,1,2,3,4,5
168,-2.1497817,1.4359351,-0.17012715,0.5190477,-2.106121,-4.6863594
169,-2.3658462,1.4336536,0.75566083,0.44160444,-2.2037935,-4.856431
170,-2.8180308,1.2316674,1.254892,0.27730495,-2.4259937,-5.9512706
171,-3.0245082,0.9896022,1.9952345,0.12976515,-2.5040927,-6.5561447
172,-3.210258,0.9368716,3.0274894,0.08686936,-2.6800056,-6.7329955
173,-3.1065114,0.93327403,2.549118,0.46326584,-2.7659929,-6.9573383
174,-4.086484,-0.64439225,2.663221,0.20442349,-2.7687178,-6.9840016
175,-3.788782,-0.93815446,2.7834415,0.9088723,-2.798238,-6.9893756
176,-3.955738,-1.7854952,3.2136402,1.2829647,-2.881999,-6.953307
177,-3.2469473,-3.3431237,3.6696198,1.4105788,-2.9466536,-6.7132397
178,-2.965473,-4.948516,3.7257767,0.94442916,-3.0049212,-6.532136
179,-3.041438,-6.905934,4.5070925,1.249146,-3.3404877,-6.250978
180,-1.9888942,-8.894594,6.076393,1.702069,-3.8095565,-5.9960837
181,-1.8355694,-8.974673,6.5375085,1.7763916,-2.8125415,-5.951605
182,-1.5455376,-9.003122,6.5128546,1.82613,-1.9112017,-5.9209046
183,-0.88552725,-9.012245,6.4806337,1.8066133,-0.88785464,-6.007105
184,0.042921424,-9.468006,6.4621153,1.9827036,-0.07911497,-6.9320397
185,-1.4805768,-7.7361383,6.29545,1.783843,1.5501051,-6.3829756
186,-2.4536777,-6.0817285,5.1478643,1.3313954,2.5178704,-5.5197754
187,-3.5916424,-4.940406,4.45161,0.81944954,2.8343616,-5.085748
188,-4.73779,-3.0227344,2.9466262,0.84585714,2.9433346,-4.7157907
189,-6.4668713,-1.5244284,2.469633,0.21842456,1.5220383,-4.5915494
190,-8.036762,0.41872293,1.2073956,0.5906488,0.8374402,-4.457942
191,-9.268236,2.0083387,-0.46699947,0.5390109,0.02082432,-4.3265014
192,-10.458998,4.1494255,-1.404843,0.6298393,-0.9924656,-4.423173
193,-12.452599,4.536617,-1.5770437,1.94508,-2.7382174,-4.08846
194,-13.511687,4.388498,-2.3935857,2.2652009,-3.2466457,-4.2090206
195,-14.765755,3.482823,-4.460092,3.0659437,-4.393973,-3.7631774
196,-16.061357,4.053795,-6.203604,3.8117328,-5.308905,-3.6501617
197,-17.65266,3.777245,-7.5224576,4.572015,-5.467659,-3.8758898
198,-18.895807,3.572154,-8.470249,5.8967404,-5.829646,-4.1450186
199,-20.784935,3.3837113,-8.270528,6.67473,-5.9282546,-4.4749527
200,-22.32809,2.6987424,-7.8955264,7.5305076,-6.350171,-4.5596805
201,-23.233484,1.3906165,-6.654845,8.555139,-6.5880995,-3.324635
202,-24.118097,0.60381085,-5.500949,9.596992,-6.7285414,-2.2769399
203,-25.08654,-1.0215037,-4.422591,9.858793,-7.2962728,-1.2297716
204,-26.342007,-2.936839,-3.3347306,10.416444,-7.5008683,-0.057186842
205,-27.449202,-3.0483034,-1.422281,12.094247,-7.666422,0.550634
206,-29.07014,-3.1312234,0.51632756,13.647791,-7.7642074,1.147525
207,-29.336079,-3.3754022,2.4464116,15.3224125,-7.815744,1.7644256
208,-29.692614,-3.4165576,4.384321,17.029354,-7.8712535,2.2744768
209,-29.813469,-3.722542,6.2555714,16.944185,-7.790025,1.9556715
210,-30.144741,-3.8861985,7.892873,16.785147,-7.7230973,1.8309324
211,-30.525229,-4.397496,9.222172,16.237968,-7.7067776,1.333813
212,-0.020973444,-0.026470065,0.07444979,0.31950867,0.29978567,0.34104607
213,-0.11782473,0.072433144,-0.19849464,0.45087117,0.3727129,0.35489067
214,-0.2086122,0.017935425,-0.12202647,0.5861599,0.27538466,0.3806787
215,-0.24475408,-0.09675005,-0.057769448,0.6543415,0.36333388,0.4756793
216,-0.5042388,-0.50075644,-0.03244877,0.61272115,0.038754284,0.293768
217,-0.6670929,-0.2792514,0.0642596,0.76274204,-0.1557185,0.25839806
218,-0.6759888,-0.32596844,0.07232705,0.8217788,-0.38399327,0.24637955
219,-0.9272485,-0.3902055,0.077629685,0.94569474,-0.58474374,0.16935241
220,-1.1455848,-0.37302297,-0.15821224,1.1329801,-0.8545354,-0.06313729
221,-1.3757347,-0.5178959,0.061231583,1.4146969,-1.008437,-0.24809378
222,-1.5060682,-0.62010205,-0.0059118867,1.6014252,-1.2085129,-0.5295372
223,-1.667183,-0.68814176,0.049798384,1.7961507,-1.4012084,-0.69886607
224,-2.0185578,-0.7633015,0.2554129,2.1755383,-1.3556794,-0.8129809
225,-2.317466,-0.9262985,0.2602681,2.5494843,-1.2894832,-0.9574893
226,-2.48798,-0.9557893,0.07329121,2.6817021,-1.2803855,-1.1664166
227,-2.718981,-1.1227496,0.35257217,2.975917,-1.2446384,-1.344452
228,-2.7144184,-1.035004,0.17308459,2.7661433,-0.5698085,-1.1882327
229,-2.6667252,-1.033332,0.16978502,2.6460412,0.12426537,-1.1296053
230,-2.559022,-1.0761374,-0.08185765,2.4629931,0.74943465,-1.1731422
231,-2.7699895,-1.246762,0.15586162,2.5786502,1.2415355,-1.3521066
232,-2.998055,-1.2589211,0.09778187,2.7061925,1.7211096,-0.5296048
233,-3.5281458,-1.4751946,0.30633444,2.9471648,1.4247757,0.3998421
234,-3.4927497,-1.36531,0.15699461,3.390809,1.1624806,1.2368126
235,-3.8443267,-1.4518449,0.12498391,3.5713959,1.1503737,2.2496092
236,-3.8731802,-1.4633352,-0.015613675,3.8533156,1.1296622,2.30956
237,-4.1344366,-1.5987334,-0.20667207,3.795084,1.2950392,1.3544059
238,-3.551149,-2.0591774,-0.91356194,3.8063884,1.3522857,0.8400133
239,-3.3711357,-2.0566297,-1.3814946,3.8819325,1.6442808,1.3537581
240,-3.1094546,-1.92905,-1.1948353,3.5045197,1.9340262,1.5570943
241,-3.0004487,-1.9035525,-0.587574,3.3375845,2.0891922,1.996678
242,-2.7263427,-2.4022737,-0.3439603,2.873618,2.219468,2.3045633
243,-2.6980684,-2.616046,0.042237252,2.8439777,2.0808334,2.6236653
244,-2.929058,-2.9919589,0.43099755,2.5428324,1.8803246,2.0020084
245,-2.9597301,-3.1958265,0.86426747,2.4098938,1.6772634,0.8573568
246,-2.9609437,-3.1336927,1.5673207,2.2325299,1.6567239,-0.2693523
247,-3.0631297,-3.2413282,2.0992796,2.138247,1.2874966,-1.4401908
248,-3.213458,-1.4058691,1.6332328,2.1336353,0.74411654,-3.1275473
249,-3.3883386,-0.36921644,0.99673843,2.0799322,-0.17532125,-4.1070576
250,-3.5027924,0.40151587,0.69739616,2.0365791,-0.4687057,-3.9928126
251,-3.8655028,1.5937362,0.2998619,1.9907964,-0.8013868,-3.7761846
252,-4.040328,1.5458689,1.0830145,1.856092,-0.82525015,-4.017928
253,-4.3374605,1.3085432,0.8336526,1.6800015,-1.0095829,-4.41672
254,-4.668765,1.1278949,0.51770586,1.492279,-1.083283,-4.7231913
255,-4.8709903,1.0994134,0.88149345,1.4472394,-1.1768249,-4.8937573
256,-3.3221874,0.7267275,2.0081034,1.4022429,-1.2572277,-4.8313856
257,-2.5594482,-0.8279505,3.3660839,1.6123219,-1.4314314,-4.6573873
258,-1.720551,-2.381518,4.2496834,1.4875883,-1.555488,-4.486232
259,-0.4818474,-3.9466982,4.8834715,1.4011153,-1.7243721,-4.34552
260,-0.56532353,-5.883174,4.147461,1.3693063,-2.1605897,-4.323653
261,0.035023987,-7.770729,4.545086,1.2799525,-2.0703113,-4.193343
262,1.1260102,-9.739331,5.4050083,1.7310371,-2.1587415,-4.008463
263,1.2760434,-11.692872,6.595049,1.7439288,-2.526924,-3.901444
264,0.7632493,-13.028571,5.3144417,2.160801,-2.2113469,-4.129796
265,-0.4439432,-13.541899,4.584945,2.0013711,-3.012068,-4.3604007
266,-0.7638156,-14.11131,3.979271,2.820805,-2.910912,-4.7002563
267,-0.63206905,-14.20334,3.8468344,3.2056565,-2.6742983,-5.9653807
268,0.06354529,-14.4909115,3.4913237,1.6832943,-1.2536448,-5.784989
269,0.1954791,-15.138037,3.522204,1.6313968,-0.055797264,-5.475921
270,0.18745297,-15.302275,2.4125838,0.43703315,0.78810465,-5.7778587
271,0.62671995,-15.368204,2.3667154,0.35762447,1.0166403,-5.9012194
272,0.5006449,-15.465857,1.117906,0.20488401,-0.20177478,-6.2538104
273,0.88406384,-15.286517,0.39951003,0.5792127,-1.0068133,-6.5092735
274,1.1578033,-15.09811,-0.29959992,0.3530111,-1.995286,-7.193766
275,1.1536617,-14.912994,-0.47431844,0.3970996,-2.786336,-7.949724
276,-0.32139134,-15.193919,-1.1524456,0.6114999,-3.154403,-8.116007
277,-1.6364295,-15.107302,-0.76820046,1.6486084,-3.4297676,-9.194057
278,-2.099863,-15.166352,-1.6639696,2.8169694,-3.569693,-9.899266
279,-3.3507905,-15.2342825,-1.9092252,3.7190635,-3.672185,-9.83298
280,-4.4084177,-15.291056,-1.9175009,4.4105387,-4.0165243,-8.35988
281,-4.5499806,-15.395399,-1.8112228,4.992798,-4.1842623,-7.0993147
282,-5.1777444,-15.50552,-1.4480585,5.485585,-4.413792,-5.8848653
283,-5.520645,-15.563062,-1.7326868,5.9677377,-4.488044,-4.4392815
284,-5.73515,-15.596927,-1.0644989,5.750407,-4.675121,-3.3431187
285,-6.3260546,-15.592289,-0.5223819,5.87677,-4.7137117,-1.9823914
286,-6.141587,-15.5721245,0.051955774,5.933813,-4.8295074,-0.66129076
287,-6.4136105,-15.610344,0.3607064,5.314786,-4.924758,-0.19573478
288,-6.4191465,-15.549441,0.38586324,5.414611,-4.9920774,0.38040903
289,-5.456591,-15.470362,0.58872676,5.636042,-5.0365295,1.273504
290,-5.775732,-15.421773,1.2086946,5.2169843,-5.1284432,2.5982988
291,-5.0649385,-15.328186,1.8881748,5.301826,-5.1510463,2.9217708
292,-5.6859183,-15.138046,3.2710428,6.296325,-5.329972,2.7918572
293,-6.461142,-14.939302,4.7290945,6.549779,-5.376123,2.6936455
294,-7.4781284,-14.769663,5.968335,7.68968,-5.426232,2.906241
295,-8.519006,-14.604114,7.055942,8.517771,-5.59536,3.2707489
296,-7.9824615,-14.052249,8.06642,8.358954,-5.548085,3.1719766
297,-8.023682,-13.558699,9.03636,7.5544243,-5.574349,3.2096176
298,-8.16662,-13.054242,8.755808,6.8891487,-5.628536,3.431131
299,-7.789354,-12.5945215,9.153596,6.966763,-6.20131,2.960569
300,-7.4874544,-12.017368,7.802451,6.7051125,-6.497779,3.0914717
301,-7.4444547,-11.419862,6.088358,6.594674,-6.7813373,3.428661
302,-7.088766,-10.775985,4.979163,5.6211987,-6.6366587,4.7218924
303,-4.980083,-10.142832,5.237668,5.492073,-6.492901,5.35698
304,-5.039847,-9.147319,5.8465843,7.443334,-6.500641,4.9873533
305,-5.048154,-8.285969,5.646144,8.94626,-6.5155044,4.210154
306,-6.658987,-7.7944217,5.530769,10.197157,-6.548319,3.966567
307,-7.115549,-6.833819,4.4827967,11.023167,-6.593129,2.9678986
308,-7.6527047,-7.3790855,5.860366,10.083647,-6.685772,2.0466595
309,-8.707374,-7.2362795,5.7104344,9.40135,-6.6886897,1.8547482
310,-8.672244,-7.30842,6.4732924,9.840688,-6.6665754,1.0133654
311,-8.935993,-7.407073,6.730321,9.897503,-6.753253,0.110121936
312,-9.36119,-7.0455446,6.6468368,11.791009,-5.078614,0.6742284
313,-9.670245,-6.6474047,7.6224084,13.328263,-3.510578,0.73825824
314,-9.721324,-6.232923,8.279805,14.659597,-1.9573681,0.25780183
315,-10.092594,-5.922923,8.322055,16.467073,-0.41519165,0.022180378
316,-10.19338,-5.598209,8.812769,17.981441,1.4711802,0.9805225
317,-10.491669,-5.425893,9.057807,19.312716,3.1745598,2.163733
318,-10.992637,-5.2358685,9.208424,20.58749,4.9409766,3.6155171
319,-11.455517,-5.1477327,9.639079,22.02191,6.32107,5.267158
320,-12.267256,-4.773492,10.231493,22.936111,7.2208796,6.8893547
321,-12.517946,-4.6502695,11.201789,24.456352,8.236742,8.509899
322,-13.584088,-3.998934,12.223449,25.208155,9.727059,10.0291815
323,-14.212727,-4.4797797,13.015297,26.169868,11.323199,11.384786
324,-14.529234,-4.433092,13.863104,26.676079,12.429074,12.806401
325,-14.574297,-4.4015894,14.9513,28.06529,14.01902,14.318816
326,-15.352744,-4.224477,16.299355,29.22059,15.3225565,15.808542
327,-15.591923,-4.1343436,18.177246,30.069796,16.753365,17.430794
328,-0.032699466,0.28919142,0.04586932,0.26036298,0.28061527,0.16585526
329,-0.26547062,-0.028661132,-0.047748238,0.42403913,0.20432195,0.45063028
330,-0.47930473,-0.07115021,-0.09246895,0.6314721,-0.43348318,0.47915488
331,-0.652553,-0.069579154,-0.07378119,0.7537942,-0.5279808,0.4134262
332,-1.1332307,-0.1585745,-0.0013056993,0.822096,-0.7658137,0.19758302
333,-0.99047303,-0.24510989,-0.12776835,0.8766332,-1.1203904,0.18087083
334,-0.94077706,-0.31458125,-0.15065792,1.0259131,-1.25524,0.18115622
335,-0.9396108,-0.37886146,-0.103433535,1.103177,-1.4750125,0.05275494
336,-0.9780199,-0.32519484,-0.09479919,1.1633232,-1.630395,-0.26778352
337,-1.0853438,-0.25966233,-0.11955184,1.2808249,-1.8286703,-0.48670334
338,-1.1720359,0.089041114,-0.09096694,1.3939557,-2.0221283,-0.74349535
339,-1.4810052,-0.45793295,0.017867416,1.6243255,-2.1967149,-0.8911114
340,-1.757748,-0.4686069,0.09912717,1.982221,-2.04671,-0.9781301
341,-2.0755951,-0.3061893,-0.016622752,2.419126,-1.9506931,-1.0710766
