,0,1,2,3
139,0.13876946,0.090414524,0.10527191,1.3566003
140,0.14463545,0.09233827,0.11132412,1.2328973
141,0.15970452,0.107338235,0.11825412,1.412669
142,0.15586796,0.09717234,0.12187025,1.4413874
143,0.13030858,0.08124267,0.10188206,1.3517866
144,0.12873022,0.086738825,0.09512017,1.4020387
145,0.1377255,0.088437326,0.105580084,1.363858
146,0.13370414,0.08451996,0.10360104,1.5211968
147,0.13370696,0.08519493,0.10305034,1.5354234
148,0.14020151,0.08874176,0.10854199,1.3942156
149,0.12437058,0.080917664,0.09444773,1.436092
150,0.13098584,0.078034006,0.10520449,1.5821252
151,0.13029967,0.07818788,0.104233675,1.4394538
152,0.13799495,0.0849314,0.10876241,1.574374
153,0.12805893,0.08124596,0.09898577,1.3890913
154,0.12044931,0.07797416,0.091804504,1.4175682
155,0.13909847,0.08895774,0.10693411,1.3938754
156,0.14576957,0.096089736,0.10961537,1.5372245
157,0.13323328,0.08290223,0.10429922,1.3181615
158,0.122421764,0.079093106,0.0934418,1.1724967
159,0.13367657,0.08654716,0.10187745,1.3060303
160,0.14393945,0.092664614,0.11014459,1.3922261
161,0.12921587,0.078970514,0.102276094,1.514039
162,0.12178668,0.074764155,0.09613696,1.536272
163,0.13334644,0.08262397,0.104664,1.4093251
164,0.13115713,0.08368735,0.10098821,1.4046862
165,0.12832901,0.08208927,0.09863918,1.3766073
166,0.12373905,0.078739904,0.09545355,1.4264914
167,0.12398078,0.07554277,0.09830832,1.3959112
168,0.12598586,0.078237474,0.09874884,1.5121567
169,0.124934584,0.07982142,0.09611031,1.4261405
170,0.12671244,0.083624035,0.09520013,1.3244153
171,0.13962077,0.09184356,0.10516044,1.4562513
172,0.13380845,0.0826679,0.105217494,1.5331215
173,0.13705617,0.08728738,0.10566601,1.2612987
174,0.13982704,0.09357331,0.10390205,1.4103105
175,0.14484093,0.09603403,0.10842675,1.4137173
176,0.118630834,0.07055005,0.09537277,1.4502192
177,0.13204496,0.08320079,0.10253536,1.4468129
178,0.11761621,0.07299371,0.09222521,1.3963479
179,0.13944478,0.08397202,0.1113263,1.2832336
180,0.12544306,0.072353624,0.10247396,1.508054
181,0.13380633,0.08525086,0.10313305,1.4491837
182,0.13297614,0.08097265,0.10548025,1.5172725
183,0.12586482,0.07664464,0.09983763,1.554569
184,0.13591337,0.08216308,0.10826668,1.4720545
185,0.13689043,0.08430645,0.10784902,1.4328139
186,0.12568764,0.07418701,0.10145773,1.4196103
187,0.13882153,0.09105132,0.10479062,1.5118715
188,0.12569825,0.07746457,0.098991364,1.4845128
189,0.13296269,0.08134541,0.105176054,1.4419354
190,0.12310479,0.07506112,0.097573645,1.5253118
191,0.1295304,0.08264951,0.09973556,1.4458244
192,0.1470195,0.09990514,0.10785962,1.2571203
193,0.13032933,0.08081393,0.102248915,1.4524682
194,0.13714232,0.08208326,0.109865166,1.4860365
